Tiempo(s) - Plot 0,Resistencia(Ohm) - Plot 0,
10,7501,6
11,7473,64
12,7425,18
12,7407,59
12,7408,2
13,7412,13
14,7431,97
14,7476,7
14,7526,42
15,7573,92
16,7620,85
16,7668,9
16,7716,16
17,7762,18
18,7806,31
18,7849,19
18,7891,3
19,7931,39
20,7968,92
20,7994,68
20,7979,13
21,7886,72
22,7775,3
22,7672,76
22,7583,16
23,7504,47
24,7435,65
24,7375,74
24,7322,73
25,7275,68
26,7234,71
26,7198,43
26,7165,39
27,7135,35
28,7108,6
28,7084,21
28,7061,96
29,7041,98
30,7023,88
30,7006,9
30,6991,61
31,6985,92
32,7005,87
32,7050,67
32,7100,52
33,7149,38
34,7196,32
34,7241,48
34,7284,4
35,7326,73
36,7369,57
36,7412,32
36,7454,2
37,7491,31
38,7526,55
38,7562,38
38,7598,3
39,7633,32
40,7666,93
40,7698,85
40,7730,56
41,7763,27
42,7796,8
42,7829,97
42,7886,16
43,7959,88
44,8026,84
44,8085,86
44,8140,74
45,8198,59
46,8205,79
46,8234,22
46,8278,96
47,8316,85
48,8344,31
48,8364,34
48,8396,68
49,8409,31
50,8417,34
50,8421,9
50,8426,
51,8433,92
52,8479,25
52,8496,5
52,8509,81
53,8519,15
54,8527,5
54,8547,62
54,8581,93
55,8614,34
56,8642,66
56,8673,95
56,8726,6
57,8781,83
58,8828,86
58,8867,14
58,8898,34
59,8923,92
60,8943,99
60,8960,36
