Tiempo(s) - Plot 0;Temperatura(K) - Plot 0
10;304,074
10;304,313
11;304,396
12;304,543
12;304,597
12;304,595
13;304,583
14;304,522
14;304,387
14;304,237
15;304,095
16;303,956
16;303,814
16;303,676
17;303,542
18;303,415
18;303,292
18;303,172
19;303,058
20;302,953
20;302,88
20;302,924
21;303,185
22;303,505
22;303,803
22;304,067
23;304,303
24;304,511
24;304,694
24;304,858
25;305,004
26;305,132
26;305,246
26;305,351
27;305,446
28;305,532
28;305,61
28;305,682
29;305,746
30;305,805
30;305,86
30;305,91
31;305,929
32;305,864
32;305,718
32;305,558
33;305,402
34;305,253
34;305,111
34;304,977
35;304,845
36;304,713
36;304,582
36;304,455
37;304,342
38;304,236
38;304,129
38;304,023
39;303,919
40;303,82
40;303,726
40;303,634
41;303,539
42;303,444
42;303,347
42;303,186
43;302,978
44;302,791
44;302,627
44;302,476
45;302,318
46;302,298
46;302,221
46;302,101
47;301,999
48;301,926
48;301,872
48;301,787
49;301,753
50;301,732
50;301,72
50;301,709
51;301,688
52;301,569
52;301,525
52;301,49
53;301,465
54;301,445
54;301,391
54;301,303
55;301,219
56;301,147
56;301,067
56;300,934
57;300,794
58;300,676
58;300,58
58;300,503
59;300,44
60;300,39
