time,current,voltage,power,SOC
1.0,-0.290768,3.597263,-1.045968967984,0.442497
2.0,-0.290768,3.597263,-1.045968967984,0.484994
3.0,-0.290768,3.597263,-1.045968967984,0.527491
4.0,-0.291648,3.597409,-1.049177140032,0.570116
5.0,-0.289009,3.59754,-1.0397214378600002,0.612356
6.0,-0.289128,3.597784,-1.040220092352,0.654613
7.0,-0.2916325,3.597891,-1.0492619470575002,0.697236
8.0,-0.2908195,3.598134,-1.046407530813,0.739741
9.0,-0.2901575,3.598241,-1.0440566129575,0.782148
10.0,-0.290105,3.598343,-1.043897296015,0.824548
11.0,-0.2908245,3.598571,-1.0465526117895,0.867053
12.0,-0.2914205,3.598542,-1.048688908911,0.909646
13.0,-0.2890435,3.598683,-1.0401759297105,0.951890
14.0,-0.291432,3.598749,-1.048790618568,0.994484
15.0,-0.2905225,3.598936,-1.0455718840600001,1.036945
16.0,-0.2902525,3.599077,-1.0446410969425,1.079367
17.0,-0.29033,3.599145,-1.0449397678499999,1.121800
18.0,-0.291327,3.599186,-1.048540059822,1.164378
19.0,-0.29029,3.599376,-1.04486285904,1.206805
20.0,-0.290101,3.599396,-1.044188378996,1.249205
21.0,-0.2897485,3.599526,-1.0429572592110001,1.291552
22.0,-0.2902,3.599529,-1.0445833158,1.333966
23.0,-0.29048,3.599702,-1.04564143696,1.376421
24.0,-0.2909525,3.599762,-1.047359753305,1.418945
25.0,-0.2904535,3.599847,-1.0455881606144999,1.461396
26.0,-0.2904725,3.599914,-1.045676019365,1.503849
27.0,-0.290319,3.599978,-1.045142012982,1.546281
28.0,-0.291206,3.600062,-1.048359654772,1.588842
29.0,-0.2900835,3.600107,-1.0443316389344999,1.631238
30.0,-0.2898965,3.600228,-1.043693496402,1.673608
31.0,-0.292378,3.600403,-1.0526786283340002,1.716340
32.0,-0.2892385,3.600335,-1.0413554948975,1.758613
33.0,-0.290163,3.600375,-1.044695611125,1.801022
34.0,-0.2898795,3.600601,-1.0437404175795002,1.843389
35.0,-0.2900925,3.600496,-1.04447688588,1.885787
36.0,-0.2901935,3.600579,-1.0448646220365,1.928200
37.0,-0.2873975,3.600442,-1.0347580296949999,1.970204
38.0,-0.289667,3.600554,-1.042961675518,2.012540
39.0,-0.2879685,3.600611,-1.0368625487535,2.054628
40.0,-0.2892185,3.600662,-1.041378062647,2.096898
41.0,-0.2878415,3.600684,-1.0364262835859999,2.138967
42.0,-0.288676,3.600688,-1.039432209088,2.181158
43.0,-0.2904755,3.600739,-1.0459264613945,2.223612
44.0,-0.2888095,3.60089,-1.0399712404550001,2.265823
45.0,-0.287475,3.600817,-1.035144867075,2.307839
46.0,-0.2885765,3.6009,-1.0391351188500002,2.350015
47.0,-0.287806,3.600868,-1.036351415608,2.392079
48.0,-0.2864775,3.600848,-1.03156193292,2.433949
49.0,-0.286733,3.600697,-1.032438652901,2.475856
50.0,-0.286667,3.60094,-1.03227066698,2.517754
51.0,-0.286042,3.60089,-1.0300057773800002,2.559560
52.0,-0.2858995,3.600853,-1.0294820722734999,2.601345
53.0,-0.2865335,3.600939,-1.0317896549565,2.643223
54.0,-0.287629,3.600926,-1.035730744454,2.685261
55.0,-0.2858155,3.600767,-1.0291550204885,2.727034
56.0,-0.2842765,3.600901,-1.0236515331265,2.768582
57.0,-0.2852495,3.600923,-1.0271614852884998,2.810273
58.0,-0.2839695,3.6009,-1.02254577255,2.851776
59.0,-0.2839185,3.60089,-1.022359287465,2.893272
60.0,-0.2848835,3.600996,-1.025864343966,2.934908
61.0,-0.2822125,3.600857,-1.0162068561125,2.976155
62.0,-0.284699,3.60082,-1.02514985318,3.017765
63.0,-0.2832055,3.600748,-1.019751637714,3.059156
